date,symbol,exchange,type,quantity,price,portfolio,tags
2020-05-15,SBIN,NSE,BUY,300,250.0,Zerodha,
2020-06-12,TCS,NSE,BUY,30,2100.0,Zerodha,
2020-06-25,ICICIBANK,NSE,BUY,200,450.0,Zerodha,
2020-07-20,INFY,NSE,BUY,100,900.0,Zerodha,
2020-08-05,RELIANCE,NSE,BUY,100,960.0,Zerodha,
2020-09-15,TITAN,NSE,BUY,30,1500.0,AngelOne,
2021-02-10,AAPL,US,BUY,15,130.0,Vested,
2021-03-10,HDFCBANK,NSE,BUY,150,1050.0,AngelOne,
2021-04-05,BAJFINANCE,NSE,BUY,10,3800.0,AngelOne,
2021-06-10,WIPRO,NSE,BUY,300,500.0,Groww,
2021-06-15,0P0000XWG5,BSE,BUY,200,280.0,MF_Mahak,
2021-07-20,PIDILITIND,NSE,BUY,20,2000.0,Groww,
2021-08-10,INFY,NSE,BUY,60,1400.0,Zerodha,
2021-09-10,SBIN,NSE,BUY,300,380.0,Zerodha,
2021-10-05,0P0000XVSK,BSE,BUY,2000,55.0,MF_Vikash,
2021-10-20,RELIANCE,NSE,BUY,100,1220.0,Zerodha,
2021-11-05,MSFT,US,BUY,5,240.0,IndMoney US,
2021-11-15,ICICIBANK,NSE,BUY,100,780.0,Zerodha,
2021-12-10,TCS,NSE,BUY,30,3200.0,Zerodha,
2021-12-10,0P0001FKRD,BSE,BUY,1500,85.0,MF_Vikash,
2022-01-20,TITAN,NSE,BUY,20,2500.0,AngelOne,
2022-03-15,INFY,NSE,BUY,40,1180.0,Zerodha,
2022-03-15,LTIM,NSE,BUY,20,3500.0,AngelOne,
2022-03-15,0P0000YWOM,BSE,BUY,1000,58.0,MF_Vikash,
2022-04-10,0P0001DYXB,BSE,BUY,1000,90.0,MF_Vikash,
2022-05-10,0P0000XVTL,BSE,BUY,2000,42.5,MF_Vikash,
2022-05-15,APOLLOHOSP,NSE,BUY,10,3800.0,Groww,
2022-06-10,BAJFINANCE,NSE,BUY,15,6500.0,AngelOne,
2022-07-10,0P0001BQQ1,BSE,BUY,1200,75.0,MF_Mahak,
2022-08-10,PIDILITIND,NSE,BUY,20,2400.0,Groww,
2022-08-15,0P0001CEXV,BSE,BUY,800,140.0,MF_Vikash,
2022-08-15,AAPL,US,BUY,15,175.0,Vested,
2022-09-20,ICICIBANK,NSE,BUY,100,880.0,Zerodha,
2022-10-05,TCS,NSE,SELL,20,3800.0,Zerodha,
2022-11-10,0P0001G4AB,BSE,BUY,1000,65.0,MF_Mahak,
2022-11-15,SBIN,NSE,BUY,200,480.0,Zerodha,
2022-12-15,WIPRO,NSE,BUY,200,380.0,Groww,
2022-12-20,TSLA,US,BUY,10,200.0,Vested,
2023-01-10,AMZN,US,BUY,8,125.0,IndMoney US,
2023-01-20,LTIM,NSE,BUY,10,4800.0,AngelOne,
2023-01-20,0P0001J8FP,BSE,BUY,300,160.0,MF_Mahak,
2023-02-15,0P0000XVTL,BSE,BUY,1500,55.2,MF_Vikash,
2023-03-08,GOOGL,US,BUY,10,105.0,IndMoney US,
2023-04-15,TSLA,US,BUY,10,150.0,Vested,
2023-04-20,0P0000XVSK,BSE,BUY,1000,70.0,MF_Vikash,
2023-05-10,PLTR,US,BUY,60,22.0,Vested,
2023-05-15,MSFT,US,BUY,4,380.0,IndMoney US,
2023-05-20,0P0000XWG5,BSE,BUY,100,310.0,MF_Mahak,
2023-06-15,META,US,BUY,5,200.0,IndMoney US,
2023-06-15,NVDA,US,BUY,10,48.0,Vested,
2023-06-20,HDFCBANK,NSE,BUY,150,1620.0,AngelOne,
2023-06-20,0P0001FKRD,BSE,BUY,1500,100.5,MF_Vikash,
2023-07-20,AMD,US,BUY,15,100.0,Vested,
2023-08-15,0P0001DYXB,BSE,BUY,1000,130.0,MF_Vikash,
2023-09-10,APOLLOHOSP,NSE,BUY,10,5200.0,Groww,
2023-09-20,0P0001CEXV,BSE,BUY,700,175.0,MF_Vikash,
2023-09-20,SNOW,US,BUY,10,160.0,IndMoney US,
2023-11-15,0P0001BQQ1,BSE,BUY,800,88.0,MF_Mahak,
2024-01-10,SNOW,US,BUY,5,180.0,IndMoney US,
2024-01-10,0P0000XVTL,BSE,BUY,1500,65.8,MF_Vikash,
2024-01-15,0P0001G4AB,BSE,BUY,500,82.0,MF_Mahak,
2024-01-15,PLTR,US,BUY,40,18.0,Vested,
2024-01-25,GOOGL,US,BUY,10,140.0,IndMoney US,
2024-02-10,0P0000YWOM,BSE,BUY,1000,72.0,MF_Vikash,
2024-02-10,MSFT,US,BUY,3,415.0,IndMoney US,
2024-02-20,META,US,BUY,5,420.0,IndMoney US,
2024-03-05,AMZN,US,BUY,7,178.0,IndMoney US,
2024-03-10,0P0001J8FP,BSE,BUY,200,210.0,MF_Mahak,
2024-03-10,AMD,US,BUY,10,160.0,Vested,
2024-04-15,SNOW,US,SELL,5,140.0,IndMoney US,
2024-07-10,NVDA,US,BUY,10,78.0,Vested,
